doc_id,name,lat,lon,country_iso3,country_iso2,admin1_name,admin1_code,feature_class,feature_code,start_char,end_char,geonameid
111302fe966c8ccfaebeefed65b15d6541e60bbf,People’s Republic of China,35.0,105.0,CHN,CN,,00,A,PCLI,0,5,1814991
111302fe966c8ccfaebeefed65b15d6541e60bbf,Malaysia,2.5,112.5,MYS,MY,,00,A,PCLI,129,137,1733045
111302fe966c8ccfaebeefed65b15d6541e60bbf,Russian Federation,60.0,100.0,RUS,RU,,00,A,PCLI,451,457,2017370
111302fe966c8ccfaebeefed65b15d6541e60bbf,Stantsiya Portovaya,56.1137,101.59729,RUS,RU,Irkutsk Oblast,20,S,RSTN,460,469,8050094
111302fe966c8ccfaebeefed65b15d6541e60bbf,United States,39.76,-98.5,USA,US,,00,A,PCLI,506,508,6252001
111302fe966c8ccfaebeefed65b15d6541e60bbf,Hong Kong,22.27832,114.17469,HKG,HK,,,P,PPLC,707,721,1819729
111302fe966c8ccfaebeefed65b15d6541e60bbf,Shanghai,31.22222,121.45806,CHN,CN,Shanghai,23,P,PPLA,718,726,1796236
111302fe966c8ccfaebeefed65b15d6541e60bbf,Singapore,1.28967,103.85007,SGP,SG,,,P,PPLC,731,740,1880252
111302fe966c8ccfaebeefed65b15d6541e60bbf,Moscow,55.75204,37.61781,RUS,RU,Moscow,48,P,PPLC,1536,1542,524901
111302fe966c8ccfaebeefed65b15d6541e60bbf,People’s Republic of China,35.0,105.0,CHN,CN,,00,A,PCLI,1562,1567,1814991
111302fe966c8ccfaebeefed65b15d6541e60bbf,United States,39.76,-98.5,USA,US,,00,A,PCLI,1584,1586,6252001
111302fe966c8ccfaebeefed65b15d6541e60bbf,Beijing,39.9075,116.39723,CHN,CN,Beijing,22,P,PPLC,1664,1671,1816670
111302fe966c8ccfaebeefed65b15d6541e60bbf,Moscow,55.75204,37.61781,RUS,RU,Moscow,48,P,PPLC,1709,1715,524901
111302fe966c8ccfaebeefed65b15d6541e60bbf,Beijing,39.9075,116.39723,CHN,CN,Beijing,22,P,PPLC,1750,1757,1816670
111302fe966c8ccfaebeefed65b15d6541e60bbf,United States,39.76,-98.5,USA,US,,00,A,PCLI,1817,1819,6252001
111302fe966c8ccfaebeefed65b15d6541e60bbf,Hong Kong,22.27832,114.17469,HKG,HK,,,P,PPLC,2445,2459,1819729
111302fe966c8ccfaebeefed65b15d6541e60bbf,Singapore,1.28967,103.85007,SGP,SG,,,P,PPLC,2828,2837,1880252
111302fe966c8ccfaebeefed65b15d6541e60bbf,Malaysia,2.5,112.5,MYS,MY,,00,A,PCLI,2842,2850,1733045
111302fe966c8ccfaebeefed65b15d6541e60bbf,Malaysia,2.5,112.5,MYS,MY,,00,A,PCLI,3085,3093,1733045
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Russian Federation,60.0,100.0,RUS,RU,,00,A,PCLI,24,30,2017370
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Russian Federation,60.0,100.0,RUS,RU,,00,A,PCLI,84,90,2017370
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Russian Federation,60.0,100.0,RUS,RU,,00,A,PCLI,121,127,2017370
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Ust’-Luga,59.66755,28.28713,RUS,RU,Leningradskaya Oblast',42,P,PPL,176,188,478036
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Gulf of Finland,60.0,27.0,NA,,,00,H,GULF,221,252,453749
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Republic of India,22.0,79.0,IND,IN,,00,A,PCLI,379,384,1269750
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Baltic Sea,56.0,18.0,NA,,,00,H,SEA,430,455,2633321
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Russian Federation,60.0,100.0,RUS,RU,,00,A,PCLI,479,485,2017370
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Gulf of Finland,60.0,27.0,NA,,,00,H,GULF,551,582,453749
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Suez Canal,29.93139,32.56278,EGY,EG,Suez,15,H,CNL,751,774,347712
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Republic of India,22.0,79.0,IND,IN,,00,A,PCLI,771,776,1269750
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Russian Federation,60.0,100.0,RUS,RU,,00,A,PCLI,1295,1301,2017370
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Baltic Sea,56.0,18.0,NA,,,00,H,SEA,1457,1482,2633321
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Europe,48.69096,9.14062,NA,,,,L,CONT,1595,1601,6255148
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Europe,48.69096,9.14062,NA,,,,L,CONT,1784,1790,6255148
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Russian Federation,60.0,100.0,RUS,RU,,00,A,PCLI,1814,1820,2017370
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Ust’-Luga,59.66755,28.28713,RUS,RU,Leningradskaya Oblast',42,P,PPL,1982,1994,478036
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Primorsk,60.36622,28.60615,RUS,RU,Leningradskaya Oblast',42,P,PPL,1992,2000,505269
2a8affcd9d30481f878be08638b8f3b79f7bd3ed,Kaliningrad,54.70639,20.51102,RUS,RU,Kaliningrad Oblast,23,P,PPLA,2006,2017,554234
